R:A::C:P,0 1 2,3 4,5 6
0 1 2,0.6587301587301587,0.16666666666666666,0.07142857142857142
3 4,0.023809523809523808,0.031746031746031744,0.015873015873015872
5 6,0.015873015873015872,0.015873015873015872,0.0
