R:A::C:P,0 6,1,2,3,4,5
0 6,44,16,14,9,13,9
1,78,43,40,19,27,19
2,27,20,24,21,10,9
3,8,3,9,5,2,7
4,9,2,5,1,0,7
5,9,2,2,7,6,0
