R:A::C:P,0,1 4,2 5,3
0,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.05263157894736842
1 4,0.2631578947368421,0.2894736842105263,0.34210526315789475,0.10526315789473684
2 5,0.2,0.2,0.3,0.3
3,0.0,0.0,1.0,0.0
