R:A::C:P,0,1 4,2 5,3
0,0.36363636363636365,0.3181818181818182,0.12,0.09090909090909091
1 4,0.45454545454545453,0.5,0.52,0.36363636363636365
2 5,0.18181818181818182,0.18181818181818182,0.24,0.5454545454545454
3,0.0,0.0,0.12,0.0
