R:A::C:P,0 5 6,1 3,2 4
0 5 6,0.45819935691318325,0.34951456310679613,0.3687150837988827
1 3,0.32636655948553056,0.3907766990291262,0.3324022346368715
2 4,0.21543408360128619,0.25970873786407767,0.2988826815642458
