R:A::C:P,0,1 5,2 4,3 6
0,0.022988505747126436,0.017241379310344827,0.009339080459770116,0.0035919540229885057
1 5,0.07830459770114942,0.10847701149425287,0.08117816091954023,0.07471264367816093
2 4,0.033764367816091954,0.07040229885057471,0.07686781609195402,0.06896551724137931
3 6,0.04741379310344827,0.09410919540229885,0.08979885057471264,0.12284482758620689
