R:A::C:P,0 1,2 3,4 6,5
0 1,0.1752873563218391,0.05962643678160919,0.07040229885057471,0.021551724137931036
2 3,0.08405172413793104,0.07902298850574713,0.07183908045977011,0.035919540229885055
4 6,0.07040229885057471,0.08908045977011494,0.11853448275862069,0.05531609195402299
5,0.020833333333333332,0.020833333333333332,0.017959770114942528,0.009339080459770116
