R:A::C:P,0 6,1 4 5,2,3
0 6,0.10121457489878542,0.05263157894736842,0.016194331983805668,0.024291497975708502
1 4 5,0.20242914979757085,0.15789473684210525,0.10931174089068826,0.06882591093117409
2,0.06882591093117409,0.07692307692307693,0.04048582995951417,0.032388663967611336
3,0.004048582995951417,0.016194331983805668,0.012145748987854251,0.016194331983805668
