R:A::C:P,0 1,2 3 4,5 6
0 1,0.4702549575070821,0.31728045325779036,0.21246458923512748
2 3 4,0.2835249042145594,0.47126436781609193,0.24521072796934865
5 6,0.25748502994011974,0.4311377245508982,0.31137724550898205
