R:A::C:P,0 1 2,3 4 5,6
0 1 2,0.5542857142857143,0.34476190476190477,0.10095238095238095
3 4 5,0.3904109589041096,0.4794520547945205,0.13013698630136986
6,0.37272727272727274,0.4727272727272727,0.15454545454545454
