R:A::C:P,0 5,1,2,3,4,6
0 5,51,20,11,12,21,15
1,86,70,35,31,23,35
2,49,31,30,24,25,13
3,12,8,9,9,6,6
4,15,1,9,4,7,3
6,25,17,12,15,24,17
