R:A::C:P,0 4 6,1,2 3 5
0 4 6,0.15425531914893617,0.026595744680851064,0.05851063829787234
1,0.2473404255319149,0.08244680851063829,0.11170212765957446
2 3 5,0.14095744680851063,0.047872340425531915,0.13031914893617022
