R:A::C:P,0 1 3,2 5,4,6
0 1 3,0.5816876122082585,0.19210053859964094,0.12746858168761221,0.09874326750448834
2 5,0.4743935309973046,0.2641509433962264,0.1293800539083558,0.1320754716981132
4,0.3561643835616438,0.3424657534246575,0.2191780821917808,0.0821917808219178
6,0.35805626598465473,0.27621483375959077,0.14066496163682865,0.22506393861892582
