R:A::C:P,0,1,2 5,3,4 6
0,0.3010752688172043,0.13559322033898305,0.11842105263157894,0.08108108108108109,0.10810810810810811
1,0.5053763440860215,0.5254237288135594,0.32894736842105265,0.4594594594594595,0.4144144144144144
2 5,0.15053763440860216,0.288135593220339,0.3157894736842105,0.32432432432432434,0.27927927927927926
3,0.010752688172043012,0.01694915254237288,0.13157894736842105,0.08108108108108109,0.06306306306306306
4 6,0.03225806451612903,0.03389830508474576,0.10526315789473684,0.05405405405405406,0.13513513513513514
