R:A::C:P,0 4,1 2 5 6,3
0 4,0.6037735849056604,0.3018867924528302,0.09433962264150944
1 2 5 6,0.34065934065934067,0.5164835164835165,0.14285714285714285
3,0.08333333333333333,0.5833333333333334,0.3333333333333333
