R:A::C:P,0,1,2,3,4,5,6,p
0,16,5,2,2,7,2,0,1
1,17,10,11,11,6,3,0,12
2,4,3,8,10,1,3,2,3
3,0,0,2,2,1,0,0,2
4,1,0,0,2,3,0,0,1
5,1,0,1,1,0,0,1,0
6,1,0,0,1,0,0,0,0
p,2,0,1,4,2,0,1,1
