R:A::C:P,0,1 2 3,4,5 6
0,0.3150684931506849,0.3287671232876712,0.1643835616438356,0.1917808219178082
1 2 3,0.17330677290836655,0.49203187250996017,0.10756972111553785,0.22709163346613545
4,0.1794871794871795,0.358974358974359,0.1794871794871795,0.28205128205128205
5 6,0.11377245508982035,0.3772455089820359,0.19760479041916168,0.31137724550898205
