R:A::C:P,antag,fool,other,protag
antag,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.4166666666666667
fool,0.5,0.0,0.0,0.5
other,0.2564102564102564,0.0,0.3076923076923077,0.4358974358974359
protag,0.13793103448275862,0.0,0.2413793103448276,0.6206896551724138
