R:A::C:P,0 6,1,2 5,3,4
0 6,0.4864864864864865,0.13513513513513514,0.10810810810810811,0.08108108108108109,0.1891891891891892
1,0.2571428571428571,0.2571428571428571,0.22857142857142856,0.17142857142857143,0.08571428571428572
2 5,0.21052631578947367,0.10526315789473684,0.34210526315789475,0.3157894736842105,0.02631578947368421
3,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
4,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
