R:A::C:P,0,1,2,3,4,5,6,p
0,15,3,3,1,0,0,0,0
1,5,16,5,0,0,1,0,0
2,1,5,6,0,0,0,0,1
3,0,1,1,0,0,1,0,0
4,1,0,0,0,0,0,0,1
5,0,1,0,1,1,1,0,2
6,0,0,0,2,1,0,0,3
p,0,2,0,1,0,0,1,4
