R:A::C:P,0,1,2,3,4,5
0,0.36363636363636365,0.3333333333333333,0.045454545454545456,0.09090909090909091,0.0,0.6666666666666666
1,0.45454545454545453,0.47619047619047616,0.5,0.36363636363636365,0.0,0.3333333333333333
2,0.18181818181818182,0.14285714285714285,0.2727272727272727,0.5454545454545454,0.0,0.0
3,0.0,0.0,0.13636363636363635,0.0,0.0,0.0
4,0.0,0.0,0.045454545454545456,0.0,1.0,0.0
5,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
