R:A::C:P,0 1 4,2,3,5 6
0 1 4,0.8426966292134831,0.56,0.5161290322580645,0.5
2,0.10112359550561797,0.32,0.3548387096774194,0.42857142857142855
3,0.033707865168539325,0.08,0.06451612903225806,0.0
5 6,0.02247191011235955,0.04,0.06451612903225806,0.07142857142857142
