name,overall,average
Emphasis-Min-2500-Counts,0.8048780487804879,0.76890756302521
Emphasis-Min-2500-Counts-Twofold,0.8048780487804879,0.76890756302521
Vowels-Only-No-Others-Percentages,0.7045454545454546,0.7369901547116737
Vowels-Only-No-Others-Percentages-Twofold,0.7045454545454546,0.7369901547116737
Emphasis-Min-500-Counts,0.7506361323155216,0.7236477987421384
Emphasis-Min-500-Counts-Twofold,0.7506361323155216,0.7236477987421384
Emphasis-Min-2500-Percentages,0.7682926829268293,0.7184873949579832
Emphasis-Min-2500-Percentages-Twofold,0.7682926829268293,0.7184873949579832
No-Others-Counts,0.75,0.7130801687763713
No-Others-Counts-Twofold,0.75,0.7130801687763713
Emphasis-No-Others-Counts,0.75,0.7130801687763713
Emphasis-No-Others-Counts-Twofold,0.75,0.7130801687763713
Emphasis-Min-500-Percentages,0.732824427480916,0.7126415094339622
Emphasis-Min-500-Percentages-Twofold,0.732824427480916,0.7126415094339622
Emphasis-Min-1000-Percentages,0.732824427480916,0.7103479853479854
Emphasis-Min-1000-Percentages-Twofold,0.732824427480916,0.7103479853479854
Emphasis-Min-250-Counts,0.7567567567567568,0.6986717550741941
Emphasis-Min-250-Counts-Twofold,0.7567567567567568,0.6986717550741941
Min-500-Counts-Twofold,0.7353689567430025,0.6938364779874214
Min-500-Counts,0.7353689567430025,0.6938364779874214
Emphasis-Min-1000-Counts,0.7175572519083969,0.6935897435897436
Emphasis-Min-1000-Counts-Twofold,0.7175572519083969,0.6935897435897436
Min-500-Percentages,0.7048346055979644,0.6902515723270439
Min-500-Percentages-Twofold,0.7048346055979644,0.6902515723270439
Vowels-Only-Min-2500-Percentages,0.7195121951219512,0.6890756302521008
Vowels-Only-Min-2500-Percentages-Twofold,0.7195121951219512,0.6890756302521008
Emphasis-Min-250-Percentages,0.7099099099099099,0.6883421456592188
Emphasis-Min-250-Percentages-Twofold,0.7099099099099099,0.6883421456592188
Emphasis-Min-100-Counts,0.7920193470374849,0.6866165465631929
Emphasis-Min-100-Counts-Twofold,0.7920193470374849,0.6866165465631929
