R:A::C:P,comedy,history,tragedy
comedy,0.6896551724137931,0.14655172413793102,0.16379310344827586
history,0.17647058823529413,0.6617647058823529,0.16176470588235295
tragedy,0.28205128205128205,0.23076923076923078,0.48717948717948717
