R:A::C:P,0 2,1 3,4,5
0 2,0.4318181818181818,0.53125,0.0,0.6666666666666666
1 3,0.5454545454545454,0.4375,0.0,0.3333333333333333
4,0.022727272727272728,0.0,1.0,0.0
5,0.0,0.03125,0.0,0.0
