R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.2919334186939821,0.0793854033290653,0.06145966709346991,0.07170294494238157
1,0.19590268886043533,0.08962868117797695,0.03969270166453265,0.03329065300896287
3,0.03201024327784891,0.010243277848911651,0.011523687580025609,0.010243277848911651
5,0.03969270166453265,0.008962868117797696,0.008962868117797696,0.015364916773367477
