R:A::C:P,0 5,1 2,3,4
0 5,0.5,0.45,0.05,0.0
1 2,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0
3,0.0,1.0,0.0,0.0
4,0.0,0.5,0.0,0.5
