                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    0-124-35-6   38.43%     36.46%     31.44%     12.19%  
                    0-1-246-35   38.07%     36.69%     31.75%     12.27%  
                    01-24-35-6   36.06%     34.67%     33.75%     13.75%  
                    0-135-24-6   33.98%     34.75%     30.52%     9.49%   
                    0-16-24-35   33.55%     35.03%     29.23%     9.08%   
                    024-1-35-6   32.40%     32.00%     31.07%     10.35%  
                    06-1-24-35   31.75%     31.46%     30.88%     8.87%   
                    035-1-24-6   31.11%     32.53%     31.10%     11.12%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-246-35   38.07%     36.69%     31.75%     12.27%  
                    0-124-35-6   38.43%     36.46%     31.44%     12.19%  
                    0-16-24-35   33.55%     35.03%     29.23%     9.08%   
                    0-135-24-6   33.98%     34.75%     30.52%     9.49%   
                    01-24-35-6   36.06%     34.67%     33.75%     13.75%  
                    035-1-24-6   31.11%     32.53%     31.10%     11.12%  
                    024-1-35-6   32.40%     32.00%     31.07%     10.35%  
                    06-1-24-35   31.75%     31.46%     30.88%     8.87%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    01-24-35-6   36.06%     34.67%     33.75%     13.75%  
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-246-35   38.07%     36.69%     31.75%     12.27%  
                    0-124-35-6   38.43%     36.46%     31.44%     12.19%  
                    035-1-24-6   31.11%     32.53%     31.10%     11.12%  
                    024-1-35-6   32.40%     32.00%     31.07%     10.35%  
                    06-1-24-35   31.75%     31.46%     30.88%     8.87%   
                    0-135-24-6   33.98%     34.75%     30.52%     9.49%   
                    0-16-24-35   33.55%     35.03%     29.23%     9.08%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    01-24-35-6   36.06%     34.67%     33.75%     13.75%  
                    0-1-246-35   38.07%     36.69%     31.75%     12.27%  
                    0-124-35-6   38.43%     36.46%     31.44%     12.19%  
                    035-1-24-6   31.11%     32.53%     31.10%     11.12%  
                    024-1-35-6   32.40%     32.00%     31.07%     10.35%  
                    0-135-24-6   33.98%     34.75%     30.52%     9.49%   
                    0-16-24-35   33.55%     35.03%     29.23%     9.08%   
                    06-1-24-35   31.75%     31.46%     30.88%     8.87%   
