R:A::C:P,0 6,1,2 3,4 5
0 6,0.07298335467349552,0.03841229193341869,0.04865556978233035,0.07426376440460948
1,0.12163892445582586,0.08962868117797695,0.08450704225352113,0.06274007682458387
2 3,0.058898847631242,0.0499359795134443,0.09218950064020487,0.08322663252240717
4 5,0.034571062740076826,0.010243277848911651,0.03201024327784891,0.046094750320102434
