R:A::C:P,0 2,1 6,3,4,5
0 2,0.4626865671641791,0.3548387096774194,0.41935483870967744,0.42105263157894735,0.5454545454545454
1 6,0.44776119402985076,0.5806451612903226,0.41935483870967744,0.3157894736842105,0.45454545454545453
3,0.029850746268656716,0.03225806451612903,0.06451612903225806,0.10526315789473684,0.0
4,0.029850746268656716,0.0,0.06451612903225806,0.15789473684210525,0.0
5,0.029850746268656716,0.03225806451612903,0.03225806451612903,0.0,0.0
