R:A::C:P,0,1 2,3 4 5
0,0.36363636363636365,0.18604651162790697,0.2
1 2,0.6363636363636364,0.6976744186046512,0.7333333333333333
3 4 5,0.0,0.11627906976744186,0.06666666666666667
