                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01234-5-6   88.10%     30.33%     31.22%     -3.69%  
                     01235-4-6   87.30%     38.36%     35.35%     9.03%   
                     01245-3-6   86.51%     43.06%     37.82%     17.10%  
                     01236-4-5   79.37%     36.06%     33.63%     1.22%   
                     0124-36-5   79.37%     49.57%     41.09%     18.13%  
                     0123-46-5   78.57%     40.73%     36.28%     6.30%   
                     0124-35-6   78.57%     39.85%     35.74%     11.68%  
                     01246-3-5   78.57%     40.73%     36.06%     8.51%   
                     0125-36-4   78.57%     57.57%     45.18%     25.71%  
                     0123-4-56   77.78%     35.73%     33.43%     2.83%   
                     0123-45-6   77.78%     32.16%     31.64%     0.62%   
                     0124-3-56   77.78%     40.68%     36.16%     11.99%  
                     0125-3-46   77.78%     53.68%     43.11%     23.03%  
                     0125-34-6   77.78%     41.83%     36.83%     15.73%  
                     01256-3-4   76.98%     48.45%     39.85%     14.25%  
                     01345-2-6   73.02%     39.34%     39.91%     12.84%  
                     012-346-5   71.43%     47.82%     39.49%     17.21%  
                     0145-23-6   71.43%     43.87%     43.46%     21.20%  
                     0-12345-6   70.63%     41.90%     41.25%     15.73%  
                     012-356-4   70.63%     51.34%     41.22%     18.89%  
                     012-345-6   69.84%     38.37%     34.47%     10.49%  
                     012-35-46   69.84%     50.32%     40.80%     18.04%  
                     012-36-45   69.84%     51.47%     41.50%     18.81%  
                     0134-25-6   69.84%     40.76%     40.80%     14.54%  
                     014-235-6   69.84%     45.40%     44.30%     23.34%  
                     012-3-456   69.05%     46.15%     38.50%     15.12%  
                     012-34-56   69.05%     39.30%     34.94%     11.05%  
                     0126-34-5   69.05%     39.08%     34.53%     6.88%   
                     0126-35-4   69.05%     45.10%     37.54%     10.40%  
                     01346-2-5   69.05%     38.19%     39.47%     13.94%  
                     0126-3-45   68.25%     42.36%     36.17%     8.50%   
                     0145-2-36   68.25%     59.50%     50.88%     30.31%  
