R:A::C:P,0 1,2,3 5,4
0 1,0.6363636363636364,0.21818181818181817,0.14545454545454545,0.0
2,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.0
3 5,0.25,0.75,0.0,0.0
4,0.0,0.5,0.0,0.5
