R:A::C:P,0,1,2 4 6,3 5
0,0.12598425196850394,0.0811965811965812,0.02697841726618705,0.022988505747126436
1,0.36220472440944884,0.43162393162393164,0.23201438848920863,0.16954022988505746
2 4 6,0.3779527559055118,0.3888888888888889,0.6007194244604317,0.6264367816091954
3 5,0.13385826771653545,0.09829059829059829,0.14028776978417265,0.1810344827586207
