R:A::C:P,0,1 2,3 4,5 6
0,0.053231939163498096,0.04182509505703422,0.02091254752851711,0.013307984790874524
1 2,0.1596958174904943,0.2414448669201521,0.14638783269961977,0.09315589353612168
3 4,0.011406844106463879,0.03612167300380228,0.015209125475285171,0.04752851711026616
5 6,0.022813688212927757,0.022813688212927757,0.045627376425855515,0.028517110266159697
