R:A::C:P,0,1 6,2 3,4 5
0,0.5,0.19047619047619047,0.16666666666666666,0.14285714285714285
1 6,0.2833333333333333,0.225,0.31666666666666665,0.175
2 3,0.10606060606060606,0.30303030303030304,0.3787878787878788,0.21212121212121213
4 5,0.15789473684210525,0.10526315789473684,0.47368421052631576,0.2631578947368421
