R:A::C:P,0,1,2,3,4,5,p
0,8,6,1,1,0,2,1
1,9,10,9,4,0,1,3
2,3,2,5,5,0,0,4
3,0,0,3,0,0,0,0
4,0,0,1,0,1,0,0
5,0,1,0,0,0,0,0
p,1,0,1,0,0,0,0
