R:A::C:P,0,1,2,3 5,4 6
0,0.3150684931506849,0.1780821917808219,0.0821917808219178,0.1917808219178082,0.2328767123287671
1,0.21428571428571427,0.25,0.125,0.20357142857142857,0.20714285714285716
2,0.13372093023255813,0.18023255813953487,0.1744186046511628,0.29069767441860467,0.22093023255813954
3 5,0.102803738317757,0.14018691588785046,0.1308411214953271,0.3364485981308411,0.2897196261682243
4 6,0.12751677852348994,0.12080536912751678,0.14093959731543623,0.2684563758389262,0.3422818791946309
