R:A::C:P,0,1,2,3,4,5,6,7
0,0,14,4,3,6,1,4,10
1,32,0,27,14,13,8,11,9
2,6,11,0,12,7,6,10,2
3,1,2,4,0,2,2,1,0
4,2,0,3,4,0,0,1,1
5,1,0,3,2,0,0,1,1
6,1,0,0,3,0,1,0,1
7,4,0,0,0,0,0,0,0
