R:A::C:P,0,1 2 4 5,3 6
0,0.07446808510638298,0.06382978723404255,0.02127659574468085
1 2 4 5,0.1675531914893617,0.3696808510638298,0.20212765957446807
3 6,0.005319148936170213,0.07712765957446809,0.018617021276595744
