R:A::C:P,0,1 4 5,2,3 6
0,0.12598425196850394,0.050505050505050504,0.041666666666666664,0.013297872340425532
1 4 5,0.46062992125984253,0.41245791245791247,0.3869047619047619,0.3271276595744681
2,0.15354330708661418,0.19865319865319866,0.24404761904761904,0.2047872340425532
3 6,0.25984251968503935,0.3383838383838384,0.3273809523809524,0.45478723404255317
