R:A::C:P,0,1 4 5,2,3 6
0,0.022988505747126436,0.021551724137931036,0.005028735632183908,0.0035919540229885057
1 4 5,0.08405172413793104,0.17600574712643677,0.04669540229885057,0.08836206896551724
2,0.028017241379310345,0.08477011494252873,0.029454022988505746,0.05531609195402299
3 6,0.04741379310344827,0.14439655172413793,0.039511494252873564,0.12284482758620689
