R:A::C:P,0 1,2,3,4,5 6
0 1,0.1752873563218391,0.033045977011494254,0.02658045977011494,0.040229885057471264,0.05172413793103448
2,0.0639367816091954,0.029454022988505746,0.028017241379310345,0.02442528735632184,0.05172413793103448
3,0.020114942528735632,0.010775862068965518,0.010775862068965518,0.010775862068965518,0.020833333333333332
4,0.009339080459770116,0.011494252873563218,0.009339080459770116,0.011494252873563218,0.010775862068965518
5 6,0.08189655172413793,0.035919540229885055,0.05316091954022988,0.04956896551724138,0.12931034482758622
