R:A::C:P,0 2 5,1,3 4
0 2 5,0.44680851063829785,0.5238095238095238,0.5833333333333334
1,0.46808510638297873,0.47619047619047616,0.3333333333333333
3 4,0.0851063829787234,0.0,0.08333333333333333
