R:A::C:P,0,1,2,3 5,4 6
0,0.43243243243243246,0.25675675675675674,0.0945945945945946,0.10810810810810811,0.10810810810810811
1,0.24146981627296588,0.2650918635170604,0.10236220472440945,0.15485564304461943,0.23622047244094488
2,0.14181818181818182,0.18181818181818182,0.14909090909090908,0.26545454545454544,0.26181818181818184
3 5,0.1717171717171717,0.11616161616161616,0.12626262626262627,0.3181818181818182,0.2676767676767677
4 6,0.12284482758620689,0.08836206896551724,0.1206896551724138,0.3125,0.35560344827586204
