R:A::C:P,0,1 3 4 6,2 5
0,0.48148148148148145,0.4074074074074074,0.1111111111111111
1 3 4 6,0.21739130434782608,0.5652173913043478,0.21739130434782608
2 5,0.16666666666666666,0.4,0.43333333333333335
