R:A::C:P,0 4 5,1,2 3 6
0 4 5,0.49382716049382713,0.14814814814814814,0.35802469135802467
1,0.43832020997375326,0.2650918635170604,0.29658792650918636
2 3 6,0.42578125,0.12630208333333334,0.4479166666666667
