R:A::C:P,0 3,1,2,4,5 6
0 3,0.048132183908045974,0.021551724137931036,0.015804597701149427,0.015086206896551725,0.02586206896551724
1,0.09051724137931035,0.07255747126436782,0.028017241379310345,0.035919540229885055,0.04669540229885057
2,0.05603448275862069,0.035919540229885055,0.029454022988505746,0.02442528735632184,0.05172413793103448
4,0.015086206896551725,0.0035919540229885057,0.011494252873563218,0.011494252873563218,0.010775862068965518
5 6,0.10057471264367816,0.034482758620689655,0.035919540229885055,0.04956896551724138,0.12931034482758622
