R:A::C:P,0 2,1,3 5,4
0 2,0.5,0.2631578947368421,0.23684210526315788,0.0
1,0.5833333333333334,0.2777777777777778,0.1388888888888889,0.0
3 5,0.75,0.25,0.0,0.0
4,0.5,0.0,0.0,0.5
