R:A::C:P,0,1 3 5 6,2,4
0,0.43243243243243246,0.3918918918918919,0.0945945945945946,0.08108108108108109
1 3 5 6,0.18041237113402062,0.5742268041237113,0.10721649484536082,0.13814432989690723
2,0.14181818181818182,0.5854545454545454,0.14909090909090908,0.12363636363636364
4,0.1095890410958904,0.4520547945205479,0.2191780821917808,0.2191780821917808
