R:A::C:P,0,1 3,2 4 5 6
0,0.12598425196850394,0.05339805825242718,0.027548209366391185
1 3,0.42913385826771655,0.3907766990291262,0.29338842975206614
2 4 5 6,0.4448818897637795,0.5558252427184466,0.6790633608815427
