R:A::C:P,0,1,2 3 4,5 6
0,0.07446808510638298,0.02127659574468085,0.03723404255319149,0.026595744680851064
1,0.125,0.08244680851063829,0.15691489361702127,0.07712765957446809
2 3 4,0.034574468085106384,0.047872340425531915,0.14893617021276595,0.0797872340425532
5 6,0.013297872340425532,0.005319148936170213,0.0425531914893617,0.026595744680851064
