R:A::C:P,0,1,2 5 6,3 4
0,0.053231939163498096,0.022813688212927757,0.03231939163498099,0.02091254752851711
1,0.12737642585551331,0.0817490494296578,0.13307984790874525,0.08745247148288973
2 5 6,0.055133079847908745,0.049429657794676805,0.12167300380228137,0.10456273764258556
3 4,0.011406844106463879,0.009505703422053232,0.0741444866920152,0.015209125475285171
