R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,48,7,9,1,1,2,1,0,0,5
1,136,80,42,16,21,5,35,11,12,23
2,69,42,36,28,31,7,25,11,9,17
3,22,10,13,9,5,7,15,9,2,10
4,16,6,12,7,12,2,8,3,6,1
5,16,9,9,15,15,9,7,7,2,7
6,50,30,31,60,39,24,72,25,35,25
7,13,3,1,2,0,1,0,9,0,1
a2,0,0,0,0,0,0,1,0,0,0
p,12,6,6,4,6,1,6,7,1,1
