R:A::C:P,0,1,2,3,4,5,6,7,p
0,27,12,7,3,4,3,0,3,1
1,39,55,30,11,8,3,4,5,11
2,10,19,29,8,3,4,6,1,1
3,1,3,4,6,1,5,1,0,1
4,1,0,2,2,5,1,1,0,2
5,1,1,2,0,2,6,3,0,2
6,1,1,1,1,3,2,3,3,1
7,1,0,0,0,0,0,0,2,2
p,3,2,1,0,0,2,0,0,4
