name,overall,average,f1,mcc
0-1-2-356-4,0.3505747126436782,0.3143471124549255,0.2710923903737339,0.12238522257565287
0-1-23-4-56,0.31537356321839083,0.31561788454660394,0.27411811226667854,0.12104516727557586
0-1-235-4-6,0.31537356321839083,0.3137655255084881,0.27051104245418045,0.12022963314137514
0-1-2-345-6,0.28160919540229884,0.31027678814145965,0.26577495722312505,0.11962624307686238
0-1-2-34-56,0.29669540229885055,0.31067358368921855,0.26940853627451294,0.11869278206601028
0-1-24-35-6,0.28089080459770116,0.3096482634236105,0.2712548317683763,0.11826050490743714
01-2-35-4-6,0.32471264367816094,0.289555696869434,0.2707705417169991,0.11668323857613783
0-1-24-3-56,0.3125,0.30433284802191085,0.2709777743605888,0.11404151107867007
0-1-234-5-6,0.3146551724137931,0.30226764691368374,0.26678524902288003,0.11375600391610101
0-1-23-45-6,0.27514367816091956,0.30441154611792776,0.26465476488816786,0.11267088473269844
01-2-3-4-56,0.3563218390804598,0.28424028146773433,0.27049348430921166,0.11246424474737074
0-12-35-4-6,0.3089080459770115,0.30939808355328413,0.2566097397292859,0.11085406190397659
0-1-25-34-6,0.27155172413793105,0.30477640702150044,0.26322914256322394,0.11066549352339528
01-23-4-5-6,0.33836206896551724,0.28153992241400444,0.2680027897524773,0.10960465475078152
0-1-2-35-46,0.28879310344827586,0.3040800942996164,0.2653543980678001,0.1082333524861003
0-1-2-3-456,0.3369252873563218,0.2987348057139627,0.2633432254866963,0.10758804876940312
0-1-26-35-4,0.3010057471264368,0.3091390014267805,0.25543645220830885,0.10750298108482366
01-2-34-5-6,0.319683908045977,0.276595621556619,0.26329321376031173,0.10725226954121594
0-1-245-3-6,0.30387931034482757,0.2981636458538003,0.26286106009163324,0.107190516961901
0-12-3-4-56,0.34051724137931033,0.30408266815158436,0.2563326823214984,0.1066350680752095
0-1-256-3-4,0.3642241379310345,0.30277848705329713,0.25617969792593376,0.10649018481584056
0-1-25-36-4,0.30028735632183906,0.3055418610620639,0.26305034980368014,0.10544097132924438
0-1-2-36-45,0.28520114942528735,0.3002326993011058,0.2597663961364585,0.10509397732898199
01-25-3-4-6,0.3311781609195402,0.27834310480001623,0.26431409059792266,0.10443695620475571
0-14-2-35-6,0.28448275862068967,0.3007247447749493,0.2603207703069657,0.10423386785597741
01-2-3-45-6,0.3160919540229885,0.2730339430390581,0.261030136930701,0.10408996220449333
0-1-24-36-5,0.3045977011494253,0.29745364215135905,0.2635987110521451,0.10360501367836435
01-24-3-5-6,0.33548850574712646,0.27025488588931135,0.26486245184638757,0.10260099855387572
01-2-36-4-5,0.3484195402298851,0.2773610755971825,0.263114421000768,0.10202774734706503
0-1-236-4-5,0.3635057471264368,0.3000071422949214,0.25347696887586674,0.10202504669880481
0-12-34-5-6,0.30387931034482757,0.2964380082404691,0.2491324117725985,0.10142309286905471
0-1-23-46-5,0.3024425287356322,0.29606431984418685,0.2625866461032783,0.10115476866074398
0-1-2-346-5,0.33261494252873564,0.2939328761081982,0.2588111371287952,0.10068253756231453
0-14-2-3-56,0.3160919540229885,0.29540932937324954,0.26004371289917827,0.1000148740272103
05-1-23-4-6,0.2744252873563218,0.2790457439431006,0.255763349823134,0.099510703792414
03-1-2-4-56,0.29094827586206895,0.2767305058488804,0.25533544738232394,0.09840732015740061
0-12-3-45-6,0.30028735632183906,0.2928763297229082,0.2468693349429878,0.09826078553233208
04-1-2-35-6,0.2550287356321839,0.2758394473783413,0.2505903030475043,0.09811563199521453
0-1-26-34-5,0.2959770114942529,0.2961789261139655,0.24795912425162142,0.09807201204990176
0-13-2-4-56,0.3089080459770115,0.30072892266225787,0.25654514060980604,0.09759665138215501
05-1-2-34-6,0.2557471264367816,0.27410144308571516,0.2510537738309684,0.09715831858284843
0-14-23-5-6,0.29813218390804597,0.2927089703195197,0.25755301834244393,0.09715528403062108
0-12-36-4-5,0.33261494252873564,0.29720346228103256,0.2489536190130547,0.09619857067490381
0-1-25-3-46,0.2952586206896552,0.29286750223019864,0.25889794694872365,0.09598707011471819
035-1-2-4-6,0.27514367816091956,0.27242025280138227,0.24950851152936754,0.09563079928185841
02-1-35-4-6,0.27801724137931033,0.2736979829087939,0.25767981541720747,0.09515525687507134
0-1-26-3-45,0.29238505747126436,0.2926172475964046,0.24569604742201073,0.09490970471317914
04-1-2-3-56,0.28663793103448276,0.27052403197664165,0.25031324563971685,0.09389663816644742
01-2-3-46-5,0.34339080459770116,0.2646867167653172,0.25896201814581143,0.09257384613253888
05-1-24-3-6,0.27155172413793105,0.2677607074184075,0.2526230119170442,0.09250704759550821
0-15-23-4-6,0.28520114942528735,0.2970026972871566,0.25253729433828165,0.09220576255335214
0-14-25-3-6,0.29094827586206895,0.28951215270553143,0.25386431918788926,0.09198758548459528
05-1-2-36-4,0.28448275862068967,0.27486689712627865,0.2508749810714246,0.09193379638869753
01-26-3-4-5,0.35560344827586204,0.26974562389248125,0.24904407228632017,0.09184347473126221
04-1-23-5-6,0.2686781609195402,0.2678236729229117,0.2478225510829825,0.0910370481698582
02-1-3-4-56,0.30962643678160917,0.2683825675070941,0.25740275800942,0.09093626304630424
0-123-4-5-6,0.35488505747126436,0.29344724772866304,0.24580918563602686,0.09091756074575218
0-1-246-3-5,0.35560344827586204,0.28639237942126583,0.24885891392951728,0.09077538722010886
03-1-25-4-6,0.26580459770114945,0.2708333291811623,0.24915605367103497,0.0903800316147856
012-3-4-5-6,0.39655172413793105,0.26041199535204196,0.24628647457990221,0.09020002062574736
0-124-3-5-6,0.35919540229885055,0.2845650169682802,0.24635006260898645,0.09016797234967136
03-1-2-45-6,0.2507183908045977,0.2655241674202042,0.24587210000381327,0.09003303761452319
0-15-2-34-6,0.2665229885057471,0.29205839642977127,0.24782771834611608,0.08985337734378657
0-14-2-36-5,0.3081896551724138,0.2885301235026977,0.25266464959073454,0.08957837662690461
0-13-25-4-6,0.28376436781609193,0.29483174599453976,0.2503657468985171,0.08956936283954
0-13-2-45-6,0.2686781609195402,0.2895225842335816,0.24708179323129542,0.0892223688392776
03-1-24-5-6,0.27011494252873564,0.26274511027045744,0.24970441491949985,0.0885440739639056
0-13-24-5-6,0.2880747126436782,0.2867435270838349,0.250914108146982,0.08773340518865999
0-12-3-46-5,0.3275862068965517,0.28452910344916726,0.2448012161580982,0.08674466946037764
014-2-3-5-6,0.34913793103448276,0.2559472797023948,0.24688112999428008,0.08628263934593247
04-1-25-3-6,0.2614942528735632,0.2646268553089235,0.24413385192842788,0.0858693496238324
02-1-34-5-6,0.27298850574712646,0.26073790759597876,0.25020248746052004,0.08572428784014945
013-2-4-5-6,0.34626436781609193,0.2620874417553082,0.2466350268297482,0.08559059492109464
015-2-3-4-6,0.34195402298850575,0.2627788951508153,0.24709501144105156,0.08553815933108544
0-15-24-3-6,0.2823275862068966,0.2857176607624636,0.24939695643219192,0.08520210635644634
05-12-3-4-6,0.2995689655172414,0.2675105275480811,0.23797791987795386,0.08510060459204764
0-15-2-36-4,0.2952586206896552,0.2928238504703347,0.24764892558657228,0.08462885514963567
0-125-3-4-6,0.34195402298850575,0.2911828255672761,0.2427371826094801,0.08423953779051195
04-1-2-36-5,0.27873563218390807,0.26364482610608975,0.24293418233127312,0.08346014076614174
023-1-4-5-6,0.30603448275862066,0.2611895780481107,0.24849954103817068,0.08345588062235257
045-1-2-3-6,0.26221264367816094,0.2560265390500268,0.23991158825367895,0.08313270595361705
0-134-2-5-6,0.3117816091954023,0.281925969217902,0.245165904720901,0.08274310165423768
034-1-2-5-6,0.26436781609195403,0.2553342820044152,0.23942783540228874,0.08270103662909564
0-135-2-4-6,0.30387931034482757,0.29012716573105835,0.24489613799357324,0.08260733096396423
02-1-3-45-6,0.26939655172413796,0.257176229078418,0.24793941063090932,0.08256198050342684
05-1-2-3-46,0.27945402298850575,0.26219253829441336,0.24672257821646806,0.08247989517417136
05-1-26-3-4,0.2916666666666667,0.2672514454215774,0.2368046323569768,0.0817495237728947
025-1-3-4-6,0.30028735632183906,0.26026730561637956,0.247590694317764,0.08149505504534368
03-12-4-5-6,0.29813218390804597,0.26249493040013094,0.23505932288040948,0.08113763096044505
02-1-36-4-5,0.3017241379310345,0.26150336163654225,0.2500236947009763,0.08049976564599855
0-14-26-3-5,0.31537356321839083,0.2809146717979965,0.2385943008762868,0.07939410401110178
0-16-2-35-4,0.2995689655172414,0.2924294981203207,0.23457302029492744,0.0793577599298185
03-1-2-46-5,0.27801724137931033,0.2571769411464633,0.24380398121892372,0.07851692154256874
05-14-2-3-6,0.27514367816091956,0.25883718876974615,0.24168895045563366,0.07848041054404845
0-145-2-3-6,0.3024425287356322,0.2798201298252449,0.24289992236219976,0.07831218740534414
03-1-26-4-5,0.29022988505747127,0.2622358482736274,0.23388603535943245,0.07778655014129209
0-13-2-46-5,0.2959770114942529,0.2811753579598407,0.24501367444640582,0.07770625276732315
06-1-2-35-4,0.28160919540229884,0.2638569216930879,0.24779087764912422,0.07766692845116155
0-13-26-4-5,0.3081896551724138,0.2862342650870048,0.23509572858691455,0.0769758813660465
04-12-3-5-6,0.2938218390804598,0.25628845652789217,0.23003712113780236,0.07662694896949185
05-13-2-4-6,0.26795977011494254,0.2641567820587545,0.23819037816626148,0.07606218789899317
024-1-3-5-6,0.2988505747126437,0.24883905467494377,0.24341340139410272,0.07540227491309129
056-1-2-3-4,0.3290229885057471,0.2576882137406987,0.24483971841493504,0.07527992822393995
0-15-2-3-46,0.29022988505747127,0.2801494916384694,0.24349652273161576,0.0751749539351095
03-14-2-5-6,0.27370689655172414,0.2538215916217961,0.2387703534580893,0.07451743691244583
0-15-26-3-4,0.3024425287356322,0.2852083987656335,0.2335785768721245,0.07444458253383283
04-1-26-3-5,0.2859195402298851,0.25602937440138857,0.22886383361682539,0.0732758681503389
0-16-23-4-5,0.3132183908045977,0.28441372366489115,0.23180526833040566,0.07227917610446218
02-1-3-46-5,0.29669540229885055,0.24882900280467699,0.24587129184601975,0.0710458644314724
06-1-23-4-5,0.2952586206896552,0.2558411472376583,0.24502312568460244,0.07058834462580524
0-16-2-34-5,0.29454022988505746,0.27946942280750575,0.22709569233824006,0.0699267908948966
03-15-2-4-6,0.2607758620689655,0.25811531858943304,0.23375462945392705,0.0695679154351769
06-1-2-34-5,0.2765804597701149,0.2508968463802729,0.24031354969243685,0.06823595941623967
04-13-2-5-6,0.26221264367816094,0.2529347110385656,0.23024957942611,0.06758853227643738
0-16-25-3-4,0.30603448275862066,0.28121690605090294,0.22811656917585102,0.06711147755843637
02-14-3-5-6,0.29238505747126436,0.24547365328000978,0.24083766408518534,0.06704637980134948
0-16-2-3-45,0.29094827586206895,0.2759077442899448,0.22483261550862937,0.06676448355817398
06-1-25-3-4,0.2880747126436782,0.25264432962367006,0.2413344265300478,0.06542064607977943
0-16-24-3-5,0.3103448275862069,0.273128687140198,0.22866493042431593,0.06527551990755638
06-1-2-3-45,0.27298850574712646,0.24733516786271198,0.2380504728628261,0.06507365207951704
04-15-2-3-6,0.25646551724137934,0.2519088447171943,0.22873242771131994,0.06505723344422372
0-156-2-3-4,0.3577586206896552,0.28033545958715567,0.22901876281375966,0.06502706507426272
02-13-4-5-6,0.28520114942528735,0.2507932465690181,0.23733909179581314,0.06462815715629419
036-1-2-4-5,0.319683908045977,0.2504045342756467,0.23815708480922454,0.06424866857317486
06-1-24-3-5,0.29238505747126436,0.24455611071296518,0.24188278777851274,0.06358468842889944
02-15-3-4-6,0.27945402298850575,0.24976738024764683,0.23582194008102308,0.06209685832408054
0-126-3-4-5,0.39439655172413796,0.27717059160398194,0.21921196588235517,0.06202831538404271
0-136-2-4-5,0.35560344827586204,0.2771549681907743,0.22585809834936418,0.05885180721008213
0-146-2-3-5,0.3577586206896552,0.2667642633853041,0.22527027530605256,0.056253388275435856
06-12-3-4-5,0.3204022988505747,0.24430593084263874,0.22723769573942235,0.05617824542543888
046-1-2-3-5,0.3103448275862069,0.23672942207753822,0.2325023758687136,0.05414508949314036
05-16-2-3-4,0.29022988505747127,0.2505419421151177,0.21594120044359538,0.053604302617889545
026-1-3-4-5,0.34554597701149425,0.24415989799179477,0.22982663069181264,0.052324143164678226
016-2-3-4-5,0.39080459770114945,0.23865953459362604,0.2221757024331204,0.05019085664869799
03-16-2-4-5,0.28879310344827586,0.24552634496716758,0.21302260344605103,0.04964132898628694
06-14-2-3-5,0.2959770114942529,0.23563259206430387,0.23094872631710217,0.049558051377439676
06-13-2-4-5,0.28879310344827586,0.24095218535331217,0.22745015402772997,0.047139828732384405
04-16-2-3-5,0.28448275862068967,0.23931987109492878,0.20800040170344394,0.04513064699533375
06-15-2-3-4,0.28304597701149425,0.23992631903194087,0.22593300231293986,0.044608529900170744
02-16-3-4-5,0.3074712643678161,0.2371784066253813,0.21508991407314712,0.04217027187519057
