                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01246-3-5   68.37%     38.39%     36.36%     6.35%   
                     01256-3-4   68.25%     36.89%     34.45%     3.48%   
                     01236-4-5   68.12%     37.96%     35.44%     6.26%   
                     01235-4-6   65.56%     36.87%     35.62%     6.16%   
                     01245-3-6   65.30%     37.13%     36.32%     5.60%   
                     0-12356-4   64.79%     40.20%     36.82%     8.72%   
                     01234-5-6   64.53%     37.96%     37.03%     6.64%   
                     0-12456-3   64.02%     40.21%     37.30%     6.72%   
                     0-12346-5   63.89%     41.28%     38.28%     9.03%   
                     0-12345-6   60.18%     39.62%     37.87%     6.65%   
                     01456-2-3   60.05%     37.45%     36.50%     6.78%   
                     01356-2-4   59.67%     36.88%     35.52%     5.94%   
                     01346-2-5   58.77%     38.01%     36.94%     6.77%   
                     0126-3-45   57.23%     39.60%     36.11%     7.63%   
                     0126-35-4   56.98%     38.30%     35.19%     6.55%   
                     0123-46-5   56.85%     40.51%     38.90%     10.60%  
                     0125-3-46   56.72%     39.35%     37.82%     8.49%   
                     0123-4-56   56.34%     38.45%     36.89%     8.60%   
                     0126-34-5   56.34%     37.86%     35.09%     6.17%   
                     0125-36-4   55.95%     37.71%     36.12%     6.76%   
                     0124-3-56   55.83%     38.54%     37.43%     7.73%   
                     0123-45-6   55.57%     39.74%     37.57%     9.71%   
                     0124-36-5   55.57%     38.97%     37.75%     8.01%   
                     0-13456-2   54.93%     39.70%     37.85%     7.19%   
                     0124-35-6   54.80%     38.53%     37.20%     7.77%   
                     0125-34-6   54.55%     36.83%     35.47%     6.14%   
                     01345-2-6   54.16%     36.08%     35.99%     4.05%   
                     04-1236-5   54.16%     41.32%     37.27%     10.07%  
                     0-1236-45   53.91%     42.72%     38.24%     11.13%  
                     05-1236-4   53.78%     38.78%     35.46%     7.89%   
                     04-1256-3   53.39%     39.92%     35.88%     6.83%   
                     0156-24-3   53.27%     38.75%     37.86%     8.30%   
                     0156-23-4   53.14%     38.33%     37.10%     7.97%   
                     0136-24-5   52.88%     39.68%     38.67%     9.45%   
                     0146-23-5   52.88%     39.67%     38.76%     9.41%   
                     0-1235-46   52.75%     42.07%     39.55%     10.49%  
                     05-1246-3   52.75%     38.60%     35.75%     5.88%   
                     0-1246-35   52.62%     41.24%     37.60%     8.04%   
                     0146-25-3   52.62%     38.47%     37.66%     8.08%   
                     0136-25-4   52.50%     38.05%     36.80%     7.79%   
                     0-1256-34   52.24%     39.57%     35.83%     6.44%   
                     03-1256-4   52.11%     36.43%     33.45%     3.67%   
                     02456-1-3   51.98%     38.50%     37.09%     8.44%   
                     03-1246-5   51.86%     37.65%     35.12%     4.89%   
                     0-1-23456   51.73%     43.06%     40.66%     14.71%  
                     04-1235-6   51.73%     39.89%     37.26%     8.54%   
                     012-3-456   51.60%     41.14%     39.01%     11.84%  
                     06-1235-4   51.47%     36.52%     34.86%     4.98%   
                     01-2456-3   50.96%     41.34%     40.57%     13.13%  
                     0-1234-56   50.83%     40.72%     38.59%     8.09%   
                     0136-2-45   50.70%     39.76%     37.54%     9.33%   
                     012-356-4   50.58%     39.36%     37.30%     9.81%   
                     0146-2-35   50.58%     38.87%     37.47%     8.55%   
                     0-1245-36   50.45%     40.00%     37.85%     6.40%   
                     012-346-5   50.45%     40.74%     38.66%     11.05%  
                     0156-2-34   50.19%     37.09%     35.71%     6.73%   
                     016-245-3   50.19%     40.44%     39.26%     11.29%  
                     02346-1-5   50.19%     38.62%     37.14%     7.55%   
                     01-2346-5   50.06%     41.83%     40.95%     13.27%  
                     06-1234-5   50.06%     37.24%     35.92%     4.58%   
                     05-1234-6   49.94%     38.07%     36.51%     5.97%   
                     06-1245-3   49.94%     36.09%     34.86%     2.61%   
                     01-2356-4   49.81%     40.17%     39.06%     11.31%  
                     016-235-4   49.81%     39.66%     38.23%     10.43%  
                     0135-24-6   49.55%     38.03%     38.09%     7.59%   
                     016-234-5   49.55%     40.87%     39.59%     11.47%  
                     02356-1-4   49.55%     36.68%     35.02%     4.48%   
                     0-1356-24   49.30%     41.24%     39.39%     9.70%   
                     0145-23-6   49.04%     37.79%     37.89%     7.04%   
                     03-1245-6   48.91%     35.97%     34.82%     3.01%   
                     01-2345-6   48.78%     41.58%     41.25%     13.99%  
                     02345-1-6   48.78%     38.55%     37.56%     9.59%   
                     0135-2-46   48.66%     38.89%     38.28%     8.37%   
                     02-1356-4   48.66%     36.66%     35.30%     4.95%   
                     012-345-6   48.40%     39.61%     37.31%     10.09%  
                     012-35-46   48.40%     41.10%     39.00%     11.40%  
                     0135-26-4   48.40%     36.16%     34.49%     4.21%   
                     0-1456-23   48.27%     40.65%     38.90%     8.21%   
                     015-246-3   48.14%     38.99%     38.18%     8.71%   
                     013-246-5   48.02%     40.00%     39.07%     9.90%   
                     0145-26-3   48.02%     36.34%     35.05%     3.98%   
                     012-36-45   47.89%     40.77%     38.23%     10.75%  
                     0-123-456   47.76%     43.57%     40.36%     13.08%  
                     0134-25-6   47.76%     37.12%     37.21%     5.88%   
                     02-1456-3   47.76%     36.50%     35.58%     3.78%   
                     0-1346-25   47.63%     40.33%     38.56%     7.93%   
                     013-245-6   47.50%     39.89%     39.74%     10.76%  
                     0145-2-36   47.50%     37.43%     37.15%     6.41%   
                     02-1346-5   47.38%     37.38%     36.34%     4.84%   
                     04-1356-2   47.38%     39.91%     37.28%     8.52%   
                     012-34-56   47.25%     38.59%     36.89%     9.02%   
                     015-236-4   47.25%     37.99%     36.72%     7.33%   
                     046-123-5   47.25%     39.94%     37.66%     9.44%   
                     013-256-4   47.12%     38.00%     36.72%     7.36%   
                     0134-26-5   46.99%     36.87%     35.47%     4.16%   
                     015-234-6   46.99%     39.32%     39.17%     9.76%   
                     0245-16-3   46.86%     39.19%     37.31%     9.24%   
                     0134-2-56   46.73%     37.54%     37.25%     6.32%   
                     0-13-2456   46.61%     42.09%     40.12%     11.70%  
                     014-235-6   46.48%     39.05%     39.02%     9.24%   
                     014-236-5   46.48%     38.94%     37.94%     7.86%   
                     014-256-3   46.48%     37.94%     37.04%     6.71%   
                     045-126-3   46.48%     39.96%     35.53%     8.30%   
                     0-136-245   46.35%     42.55%     40.33%     11.99%  
                     024-136-5   46.35%     39.44%     38.00%     8.72%   
                     056-123-4   46.35%     37.38%     35.29%     6.56%   
                     046-125-3   46.22%     38.36%     36.07%     6.52%   
                     0-16-2345   46.09%     43.14%     40.30%     13.38%  
                     016-23-45   46.09%     41.45%     39.36%     11.76%  
                     016-24-35   45.97%     40.57%     39.20%     11.01%  
                     024-156-3   45.84%     38.10%     36.70%     6.67%   
                     0246-13-5   45.84%     38.23%     37.08%     6.46%   
                     045-123-6   45.84%     40.09%     37.28%     9.99%   
                     05-1346-2   45.71%     38.10%     36.52%     6.24%   
                     0-125-346   45.58%     41.59%     38.42%     9.36%   
                     013-2-456   45.58%     40.93%     39.88%     11.70%  
                     025-136-4   45.58%     37.30%     35.75%     6.13%   
                     01-2-3456   45.33%     42.06%     40.85%     14.16%  
                     0234-16-5   45.33%     39.16%     37.25%     8.51%   
                     0-126-345   45.20%     41.91%     36.90%     9.64%   
                     0-156-234   45.20%     41.65%     39.35%     10.12%  
                     0235-16-4   45.20%     37.47%     35.47%     6.49%   
                     0245-13-6   45.20%     38.38%     37.82%     8.41%   
                     03-1456-2   45.20%     36.27%     35.13%     4.20%   
                     0456-12-3   45.20%     39.51%     36.50%     9.35%   
                     016-2-345   45.07%     39.94%     37.71%     10.48%  
                     0246-15-3   45.07%     36.66%     35.51%     4.25%   
                     0-124-356   44.94%     41.08%     38.31%     8.39%   
                     0-15-2346   44.94%     41.01%     38.93%     9.63%   
                     016-25-34   44.94%     38.51%     37.23%     8.97%   
                     035-126-4   44.94%     36.96%     33.31%     5.12%   
                     0-146-235   44.81%     41.34%     39.26%     9.54%   
                     015-23-46   44.81%     40.68%     40.27%     10.93%  
                     034-126-5   44.69%     38.28%     34.49%     6.39%   
                     05-123-46   44.69%     40.89%     38.50%     10.48%  
                     015-2-346   44.56%     39.51%     38.64%     9.72%   
                     0256-13-4   44.56%     35.94%     34.56%     2.99%   
                     04-123-56   44.56%     41.36%     38.28%     10.65%  
                     056-124-3   44.56%     36.68%     34.95%     3.91%   
                     0-12-3456   44.43%     43.32%     39.29%     12.96%  
                     01-235-46   44.43%     42.62%     42.18%     14.24%  
                     013-25-46   44.43%     40.48%     40.06%     10.79%  
                     023-156-4   44.43%     36.45%     34.83%     4.35%   
                     025-146-3   44.43%     36.87%     35.72%     4.55%   
                     013-24-56   44.30%     40.04%     39.91%     10.45%  
                     015-24-36   44.17%     39.46%     39.33%     9.54%   
                     036-125-4   44.17%     35.56%     33.46%     2.99%   
                     04-126-35   44.17%     41.22%     36.30%     9.00%   
                     01-245-36   44.05%     41.76%     41.51%     13.38%  
                     014-2-356   43.92%     39.08%     38.49%     9.01%   
                     01-246-35   43.79%     41.43%     40.30%     12.27%  
                     023-146-5   43.79%     37.35%     36.10%     4.81%   
                     03456-1-2   43.79%     38.67%     36.95%     9.56%   
                     0-135-246   43.66%     40.37%     38.58%     8.18%   
                     01-23-456   43.66%     43.15%     42.40%     14.93%  
                     01-234-56   43.66%     41.76%     41.52%     13.28%  
                     0-14-2356   43.53%     39.57%     37.55%     7.09%   
                     014-23-56   43.53%     39.56%     39.47%     9.46%   
