R:A::C:P,0,1 2 3,4,5 6
0,0.4666666666666667,0.25,0.11666666666666667,0.16666666666666666
1 2 3,0.21561338289962825,0.4349442379182156,0.137546468401487,0.21189591078066913
4,0.14285714285714285,0.21428571428571427,0.5,0.14285714285714285
5 6,0.15151515151515152,0.36363636363636365,0.18181818181818182,0.30303030303030304
