R:A::C:P,0 1 5,2 3 4,6
0 1 5,0.5896103896103896,0.43322475570032576,0.5617977528089888
2 3 4,0.3012987012987013,0.4006514657980456,0.24719101123595505
6,0.10909090909090909,0.16612377850162866,0.19101123595505617
