                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-146-2-3-5   34.70%     26.78%     24.44%     6.80%   
                   01-2-3-46-5   34.31%     27.55%     26.19%     9.62%   
                   0-12-3-46-5   33.42%     28.30%     25.25%     8.90%   
                   0-1-246-3-5   32.52%     27.83%     25.46%     8.76%   
                   0-1-2-3-456   30.09%     28.39%     25.95%     9.84%   
                   0-13-2-46-5   29.96%     28.00%     25.92%     8.76%   
                   046-1-2-3-5   29.58%     26.21%     24.33%     7.66%   
                   0-15-2-3-46   29.19%     27.06%     24.98%     7.44%   
                   0-1-23-46-5   29.19%     28.84%     26.72%     10.09%  
                   0-1-25-3-46   28.94%     28.12%     26.05%     9.29%   
                   0-1-2-346-5   28.94%     28.15%     25.74%     9.36%   
                   02-1-3-46-5   28.68%     26.35%     24.72%     7.43%   
                   05-1-2-3-46   27.02%     26.78%     24.83%     8.28%   
                   0-1-2-35-46   26.89%     28.36%     25.94%     9.57%   
                   03-1-2-46-5   26.12%     26.21%     24.46%     7.68%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-46-5   29.19%     28.84%     26.72%     10.09%  
                   0-1-2-3-456   30.09%     28.39%     25.95%     9.84%   
                   0-1-2-35-46   26.89%     28.36%     25.94%     9.57%   
                   0-12-3-46-5   33.42%     28.30%     25.25%     8.90%   
                   0-1-2-346-5   28.94%     28.15%     25.74%     9.36%   
                   0-1-25-3-46   28.94%     28.12%     26.05%     9.29%   
                   0-13-2-46-5   29.96%     28.00%     25.92%     8.76%   
                   0-1-246-3-5   32.52%     27.83%     25.46%     8.76%   
                   01-2-3-46-5   34.31%     27.55%     26.19%     9.62%   
                   0-15-2-3-46   29.19%     27.06%     24.98%     7.44%   
                   0-146-2-3-5   34.70%     26.78%     24.44%     6.80%   
                   05-1-2-3-46   27.02%     26.78%     24.83%     8.28%   
                   02-1-3-46-5   28.68%     26.35%     24.72%     7.43%   
                   03-1-2-46-5   26.12%     26.21%     24.46%     7.68%   
                   046-1-2-3-5   29.58%     26.21%     24.33%     7.66%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-46-5   29.19%     28.84%     26.72%     10.09%  
                   01-2-3-46-5   34.31%     27.55%     26.19%     9.62%   
                   0-1-25-3-46   28.94%     28.12%     26.05%     9.29%   
                   0-1-2-3-456   30.09%     28.39%     25.95%     9.84%   
                   0-1-2-35-46   26.89%     28.36%     25.94%     9.57%   
                   0-13-2-46-5   29.96%     28.00%     25.92%     8.76%   
                   0-1-2-346-5   28.94%     28.15%     25.74%     9.36%   
                   0-1-246-3-5   32.52%     27.83%     25.46%     8.76%   
                   0-12-3-46-5   33.42%     28.30%     25.25%     8.90%   
                   0-15-2-3-46   29.19%     27.06%     24.98%     7.44%   
                   05-1-2-3-46   27.02%     26.78%     24.83%     8.28%   
                   02-1-3-46-5   28.68%     26.35%     24.72%     7.43%   
                   03-1-2-46-5   26.12%     26.21%     24.46%     7.68%   
                   0-146-2-3-5   34.70%     26.78%     24.44%     6.80%   
                   046-1-2-3-5   29.58%     26.21%     24.33%     7.66%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-46-5   29.19%     28.84%     26.72%     10.09%  
                   0-1-2-3-456   30.09%     28.39%     25.95%     9.84%   
                   01-2-3-46-5   34.31%     27.55%     26.19%     9.62%   
                   0-1-2-35-46   26.89%     28.36%     25.94%     9.57%   
                   0-1-2-346-5   28.94%     28.15%     25.74%     9.36%   
                   0-1-25-3-46   28.94%     28.12%     26.05%     9.29%   
                   0-12-3-46-5   33.42%     28.30%     25.25%     8.90%   
                   0-13-2-46-5   29.96%     28.00%     25.92%     8.76%   
                   0-1-246-3-5   32.52%     27.83%     25.46%     8.76%   
                   05-1-2-3-46   27.02%     26.78%     24.83%     8.28%   
                   03-1-2-46-5   26.12%     26.21%     24.46%     7.68%   
                   046-1-2-3-5   29.58%     26.21%     24.33%     7.66%   
                   0-15-2-3-46   29.19%     27.06%     24.98%     7.44%   
                   02-1-3-46-5   28.68%     26.35%     24.72%     7.43%   
                   0-146-2-3-5   34.70%     26.78%     24.44%     6.80%   
