R:A::C:P,0,1,2,3,4,5,p
0,11,4,3,0,0,0,1
1,12,11,12,0,0,0,1
2,3,7,7,1,0,0,1
3,0,0,3,0,0,0,0
4,0,0,1,1,0,0,0
5,0,1,0,0,0,0,0
p,0,1,1,0,0,0,0
