R:A::C:P,0,1 2,3,4 5
0,0.36363636363636365,0.18604651162790697,0.09090909090909091,0.5
1 2,0.6363636363636364,0.6976744186046512,0.9090909090909091,0.25
3,0.0,0.06976744186046512,0.0,0.0
4 5,0.0,0.046511627906976744,0.0,0.25
