R:A::C:P,0,1 2,3 4 5,6
0,0.07446808510638298,0.031914893617021274,0.0398936170212766,0.013297872340425532
1 2,0.15159574468085107,0.21808510638297873,0.17819148936170212,0.10904255319148937
3 4 5,0.018617021276595744,0.02925531914893617,0.07446808510638298,0.018617021276595744
6,0.0026595744680851063,0.013297872340425532,0.023936170212765957,0.0026595744680851063
