R:A::C:P,0,1 4 6,2 5,3
0,0.12598425196850394,0.04340836012861737,0.03550295857988166,0.016853932584269662
1 4 6,0.5866141732283464,0.6382636655948553,0.5828402366863905,0.5730337078651685
2 5,0.2204724409448819,0.25562700964630225,0.28994082840236685,0.3258426966292135
3,0.06692913385826772,0.06270096463022508,0.09171597633136094,0.08426966292134831
